2016-A-34,ECOOP,2016,A,nan,nan,4612.0
2016-A-35,ECRTS,2016,A,nan,nan,4606.0
2016-A-36,EDBT,2016,A,nan,nan,4605.0
2016-A-37,EMSOFT,2016,A,nan,nan,4606.0
2016-A-38,ESA,2016,A,nan,nan,4613.0
2016-A-39,ESOP,2016,A,nan,nan,4612.0
2016-A-40,ESORICS,2016,A,nan,nan,4604.0
2016-A-41,EURO-PAR,2016,A,nan,nan,-1
2016-A-42,EuroVis,2016,A,nan,nan,4607.0
2016-A-43,FASE,2016,A,nan,nan,4612.0
2016-A-44,FC,2016,A,nan,nan,4604.0
2016-A-45,FPGA,2016,A,nan,nan,-1
2016-A-46,GECCO,2016,A,nan,nan,4602.0
2016-A-47,I3DG,2016,A,i3D,nan,4607.0
2016-A-48,ICALP,2016,A,nan,nan,4613.0
2016-A-49,ICAPS,2016,A,nan,nan,4602.0
2016-A-50,ICCAD,2016,A,nan,nan,4606.0
2016-A-51,ICCD,2016,A,nan,nan,-1
2016-A-52,ICCI*CC,2016,A,nan,nan,-1
2016-A-53,ICCPS,2016,A,nan,nan,-1
2016-A-54,ICDCS,2016,A,nan,nan,4606.0
2016-A-55,ICFP,2016,A,nan,nan,4612.0
2016-A-56,ICNP,2016,A,nan,nan,4606.0
2016-A-57,ICPP,2016,A,nan,nan,4606.0
2016-A-58,ICPR,2016,A,nan,nan,4603.0
2016-A-59,ICRA,2016,A,nan,nan,4602.0
2016-A-60,ICS,2016,A,nan,nan,4606.0
2016-A-61,ICSME,2016,A,nan,nan,4612.0
2016-A-62,ICSOC,2016,A,nan,nan,4606.0
2016-A-63,ICST,2016,A,nan,nan,4612.0
2016-A-64,ICWS,2016,A,nan,nan,4606.0
2016-A-65,ICWSM,2016,A,nan,nan,46.0
2016-A-66,IISWC,2016,A,nan,nan,-1
2016-A-67,IJCAI,2016,A,nan,nan,4602.0
2016-A-68,IJCNLP,2016,A,nan,nan,4602.0
2016-A-69,IM,2016,A,nan,nan,-1
2016-A-70,IMC,2016,A,nan,nan,4606.0
2016-A-71,IPDPS,2016,A,nan,nan,4606.0
2016-A-72,IPSN,2016,A,nan,nan,4606.0
2016-A-73,ISAAC,2016,A,nan,nan,4613.0
2016-A-74,ISLPED,2016,A,nan,nan,-1
2016-A-75,ISMAR,2016,A,nan,nan,4607.0
2016-A-76,ISPASS,2016,A,nan,nan,4612.0
2016-A-77,ISSRE,2016,A,nan,nan,4612.0
2016-A-78,ISSTA,2016,A,nan,nan,4612.0
2016-A-79,ISWC,2016,A,nan,nan,4608.0
2016-A-80,IUI,2016,A,nan,nan,4608.0
2016-A-81,KR,2016,A,nan,nan,4602.0
2016-A-82,LCTES,2016,A,nan,nan,4606.0
2016-A-83,MASCOTS,2016,A,nan,nan,4606.0
2016-A-84,MICCAI,2016,A,nan,nan,4601.0
2016-A-85,Middleware,2016,A,nan,nan,4606.0
2016-A-86,ACMMM,2016,A,nan,nan,4603.0
2016-A-87,MMsys,2016,A,nan,nan,-1
2016-A-88,MOBIHOC,2016,A,nan,nan,4606.0
2016-A-89,MODELS,2016,A,nan,nan,4612.0
2016-A-90,MSST,2016,A,nan,nan,4606.0
2016-A-91,NOMS,2016,A,nan,nan,4606.0
2016-A-92,NOSSDAV,2016,A,nan,nan,4606.0
2016-A-93,PG,2016,A,Pacific Graphics,nan,4607.0
2016-A-94,PAKDD,2016,A,nan,nan,4605.0
2016-A-95,PAM,2016,A,nan,nan,4606.0
2016-A-96,PERCOM,2016,A,nan,nan,4608.0
2016-A-97,PODC,2016,A,nan,nan,4606.0
2016-A-98,PSB,2016,A,nan,nan,4601.0
2016-A-99,RAID,2016,A,nan,nan,4604.0
2016-A-100,RE,2016,A,nan,nan,4612.0
2016-A-101,RECOMB,2016,A,nan,nan,4601.0
2016-A-102,RecSys,2016,A,nan,nan,4605.0
2016-A-103,RSS,2016,A,nan,nan,-1
2016-A-104,SAS,2016,A,nan,nan,4612.0
2016-A-105,SCA,2016,A,nan,nan,4607.0
2016-A-106,SDM,2016,A,nan,nan,4605.0
2016-A-107,IFIP SEC,2016,A,nan,nan,4604.0
2016-A-108,SECON,2016,A,nan,nan,4606.0
2016-A-109,SENSYS,2016,A,nan,nan,4606.0
2016-A-110,SGP,2016,A,nan,nan,4607.0
2016-A-111,SMC,2016,A,nan,nan,4608.0
2016-A-112,SOCC,2016,A,nan,nan,-1
2016-A-113,SOUPS,2016,A,nan,nan,4608.0
2016-A-114,SPAA,2016,A,nan,nan,4606.0
2016-A-115,SPLC,2016,A,nan,nan,-1
