5,A Satellite workshop on Formal Approaches to Testing of Software,FATES,CORE2008,C,No,,,
11,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,CORE2008,A*,No,,,
12,ACM Conference on Computer and Communications Security,CCS,CORE2008,A*,Yes,,,
13,ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2008,A,No,,,
14,ACM Conference on Economics and Computation,EC,CORE2008,A,Yes,,,
15,ACM Conference on Embedded Networked Sensor Systems,SENSYS,CORE2008,A*,Yes,,,
16,ACM Conference on Embedded Software,EMSOFT,CORE2008,A,No,,,
17,ACM Conference on Hypertext and Social Media,Hypertext,CORE2008,A,Yes,,,
18,ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,CORE2008,A*,Yes,,,
25,ACM International Conference on Information and Knowledge Management,CIKM,CORE2008,A,Yes,,,
26,ACM International Conference on Knowledge Discovery and Data Mining,KDD,CORE2008,A*,No,,,
27,ACM International Conference on Mobile Computing and Networking,MOBICOM,CORE2008,A*,No,,,
29,ACM International Conference on Research and Development in Information Retrieval,SIGIR,CORE2008,A*,Yes,,,
30,ACM International Conference on Supercomputing,ICS,CORE2008,A,Yes,,,
32,ACM International Symposium on Computer Architecture,ISCA,CORE2008,A*,No,,,
33,ACM International Symposium on High Performance Distributed Computing,HPDC,CORE2008,A,No,,,
34,ACM International Wireless Communications and Mobile Computing Conference,IWCMC,CORE2008,B,Yes,,,
37,ACM Multimedia,ACMMM,CORE2008,A*,No,,,
38,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,CORE2008,A*,No,,,
39,Measurement and Modeling of Computer Systems,SIGMETRICS,CORE2008,A*,No,,,
42,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,CORE2008,A,No,,,
44,International Conference on Multimedia Retrieval (previously MIR),ICMR,CORE2008,A,Yes,,,
45,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,CORE2008,A,No,,,
46,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,CORE2008,A*,No,,,
47,ACM SIGOPS European Workshops,SIGOPS-EW,CORE2008,B,Yes,,,
48,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,CORE2008,A*,No,,,
49,"ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems",LCTES,CORE2008,A,No,,,
50,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,CORE2008,A,No,,,
52,"European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering (duplicate was listed as ESEC, removed from DB)",ESEC/FSE,CORE2008,A,Yes,,,
53,ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE,CORE2008,B,No,,,
55,ACM Special Interest Group on Computer Science Education Conference,SIGCSE,CORE2008,A,No,,,
56,ACM Special Interest Group on Management of Data Conference,SIGMOD,CORE2008,A*,No,,,
57,ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,CORE2008,A,No,,,
58,ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,CORE2008,A,No,,,
59,ACM Symposium on Applied Computing,SAC,CORE2008,B,No,,,
60,International Symposium on Computational Geometry,SoCG,CORE2008,A,No,,,
62,ACM Symposium on Principles of Database Systems,SPDS,CORE2008,C,No,,,
63,ACM Symposium on Principles of Distributed Computing,PODC,CORE2008,A*,No,,,
65,ACM Symposium on Theory of Computing,STOC,CORE2008,A*,No,,,
66,ACM Symposium on User Interface Software and Technology,UIST,CORE2008,A,No,,,
69,ACM Workshop on Hot Topics in Networks,HOTNETS,CORE2008,A,No,,,
74,ACM Workshop on Web Information and Data Management,WIDM,CORE2008,C,No,,,
