2051,IEEE International Conference on Robotics and Automation,ICRA,CORE2013,B,No,,,
2052,International Computer Symposium Conference,ICSC2,CORE2013,A,No,,,
2056,"IEEE Conference on Information, Decision and Control",IDC,CORE2013,C,No,,,
2057,International Database Conference (HK CS),IDC(W),CORE2013,L,No,,,
2058,IDF Congress,IDFC,CORE2013,C,No,,,
2062,Intelligent Vehicles Conference,IEEE-IV,CORE2013,B,No,,,
2063,IEEE International Conference on Multimedia Computing and Systems,IEEE-MM,CORE2013,A,No,,,
2065,Intenational Environmental Modelling and Software Society,iEMSs,CORE2013,C,No,,,
2066,International Federation of Automatic Control World Congress,IFAC,CORE2013,C,No,,,
2068,International Joint Conference on Computational Linguistics,IJCNLP2,CORE2013,B,No,,,
2070,"IASTED International Conference on Internet, Multimedia Systems and Applications",IMSA,CORE2013,C,Yes,,,
2071,IEEE Intell Network Workshop,IN,CORE2013,B,No,,,
2072,International Conference on Applications of Prolog (no information after 2013),INAP,CORE2013,C,No,,,
2073,IEEE International Symposium on Intelligence in Neural & Biological Systems,INBS,CORE2013,B,No,,,
2074,IEEE International Conference on Computer Communications,INFOCOM,CORE2013,A*,No,,,
2076,IEEE International Conference on Intelligent Processing Systems,IPS,CORE2013,C,No,,,
2078,Information Resources Management Association International Conference,IRMA,CORE2013,B,No,,,
2080,IASTED International Conference on Intelligent Systems and Control,ISC,CORE2013,C,Yes,,,
2081,IEEE International Solid-State Circuits Conference,ISSCC,CORE2013,A,No,,,
2083,International Conference on IT Based Higher Education and Training,ITHET,CORE2013,C,No,,,
2084,IEEE International Workshop on Cluster Computing and the Grid,IWCC,CORE2013,C,No,,,
2088,IEEE LAN/MAN Workshop,LANMAN,CORE2013,C,No,,,
2089,IASTED International conference Law and Technology,LawTech,CORE2013,C,Yes,,,
2091,International Workshop on Logic Programming and Multi-Agents,LPMA,CORE2013,B,No,,,
2092,Language Resources and Evaluation Conference,LREC,CORE2013,C,No,,,
2094,Australian Conference on Mathematics and Computers in Sport,MCSpo,CORE2013,Australasian,Yes,,,
2096,"IASTED International Conference on Modelling, Identification, and Control",MIC,CORE2013,C,Yes,,,
2097,Malaysia International Conference on Communications,MICC,CORE2013,Regional,No,,,
2098,International Symposium on Microarchitecture,MICRO,CORE2013,A,No,,,
2099,IEEE International Conference on Multimedia in Education,MME,CORE2013,C,No,,,
