2012,ASPLOS,Architectural Support for Programming Languages and Operating Systems,A,Computer System and High Performance Computing,,,
2012,FAST,Conference on File and Storage Technologies,A,Computer System and High Performance Computing,,,
2012,HPCA,High-Performance Computer Architecture,A,Computer System and High Performance Computing,,,
2012,MICRO,MICRO,A,Computer System and High Performance Computing,,,
2012,ISCA,International Symposium on Computer Architecture,A,Computer System and High Performance Computing,,,
2012,HOT CHIPS,A Symposium on High Performance Chips,B,Computer System and High Performance Computing,,,
2012,SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,B,Computer System and High Performance Computing,,,
2012,PODC,ACM Symposium on Principles of Distributed Computing,B,Computer System and High Performance Computing,,,
2012,CGO,Code Generation and Optimization,B,Computer System and High Performance Computing,,,
2012,DAC,Design Automation Conference,B,Computer System and High Performance Computing,,,
2012,DATE,"Design, Automation & Test in Europe Conference",B,Computer System and High Performance Computing,,,
2012,EuroSys,EuroSys,B,Computer System and High Performance Computing,,,
2012,HPDC,High-Performance Distributed Computing,B,Computer System and High Performance Computing,,,
2012,SC,"International Conference for High Performance Computing, Networking, Storage, and Analysis",B,Computer System and High Performance Computing,,,
2012,ICCD,International Conference on Computer Design,B,Computer System and High Performance Computing,,,
2012,ICCAD,International Conference on Computer-Aided Design,B,Computer System and High Performance Computing,,,
2012,ICDCS,International Conference on Distributed Computing Systems,B,Computer System and High Performance Computing,,,
2012,HiPEAC,International Conference on High Performance and Embedded Architectures and Compilers,B,Computer System and High Performance Computing,,,
2012,SIGMETRICS,International Conference on Measurement and Modeling of Computer Systems,B,Computer System and High Performance Computing,,,
2012,ICPP,International Conference on Parallel Processing,B,Computer System and High Performance Computing,,,
2012,ICS,International Conference on Supercomputing,B,Computer System and High Performance Computing,,,
2012,IPDPS,International Parallel & Distributed Processing Symposium,B,Computer System and High Performance Computing,,,
2012,FPGA,ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,B,Computer System and High Performance Computing,,,
2012,Performance,"International Symposium on Computer Performance, Modeling, Measurements and Evaluation",B,Computer System and High Performance Computing,,,
2012,LISA,Large Installation system Administration Conference,B,Computer System and High Performance Computing,,,
2012,MSST,Mass Storage Systems and Technologies,B,Computer System and High Performance Computing,,,
2012,PACT,Parallel Architectures and Compilation Techniques,B,Computer System and High Performance Computing,,,
2012,PPoPP,Principles and Practice of Parallel Programming,B,Computer System and High Performance Computing,,,
2012,RTAS,Real-Time and Embedded Technology and Applications Symposium,B,Computer System and High Performance Computing,,,
2012,USENIX ATC,USENIX Annul Technical Conference,B,Computer System and High Performance Computing,,,
2012,VEE,Virtual Execution Environments,B,Computer System and High Performance Computing,,,
2012,CF,ACM International Conference on Computing Frontiers,C,Computer System and High Performance Computing,,,
2012,NOCS,ACM/IEEE International Symposium on Networks-on-Chip,C,Computer System and High Performance Computing,,,
2012,ASP-DAC,Asia and South Pacific Design Automation Conference,C,Computer System and High Performance Computing,,,
2012,ASAP,"Application-Specific Systems, Architectures, and Processors",C,Computer System and High Performance Computing,,,
2012,CLUSTER,Cluster Computing,C,Computer System and High Performance Computing,,,
2012,CCGRID,Cluster Computing and the Grid,C,Computer System and High Performance Computing,,,
2012,Euro-Par,European Conference on Parallel and Distributed Computing,C,Computer System and High Performance Computing,,,
2012,ETS,European Test Symposium,C,Computer System and High Performance Computing,,,
2012,FPL,Field Programmable Logic and Applications,C,Computer System and High Performance Computing,,,
2012,FCCM,Field-Programmable Custom Computing Machines,C,Computer System and High Performance Computing,,,
2012,GLSVLSI,Great Lakes Symposium on VLSI Systems,C,Computer System and High Performance Computing,,,
2012,HPCC,IEEE International Conference on High Performance Computing and Communications,C,Computer System and High Performance Computing,,,
2012,MASCOTS,"IEEE International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",C,Computer System and High Performance Computing,,,
2012,NPC,IFIP International Conference on Network and Parallel,C,Computer System and High Performance Computing,,,
2012,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,C,Computer System and High Performance Computing,,,
2012,CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems",C,Computer System and High Performance Computing,,,
